mpg,cylinders,displacement,horsepower,weight_lbs,acceleration_0_60,model year,origin_numeric,torque_lbft,top_speed_mph,0-60_time_sec_predicted,quarter_mile_time,car_name,car_full_name,origin_text,alternate_hp,alternate_weight,alternate_year
20.8,6,200,85,3070,16.7,78,1,,,,,mercury zephyr,,America,,,
19.8,6,200,85,2990,18.2,79,1,,,,,mercury zephyr 6,,America,,,
36,4,120,88,2160,14.5,82,3,105,103,12.3,18.8,nissan stanza xe,,Japan,,3186,
38,6,262,85,3015,17,82,1,,,,,oldsmobile cutlass ciera (diesel),,America,,,
26.6,8,350,105,3725,19,81,1,190,102,14.8,20.3,oldsmobile cutlass ls,,America,110,3296,
19.9,8,260,110,3365,15.5,78,1,,,,,oldsmobile cutlass salon brougham,,America,,,
23.9,8,260,90,3420,22.2,79,1,,,,,oldsmobile cutlass salon brougham,,America,,,
17,8,260,110,4060,19,77,1,,,,,oldsmobile cutlass supreme,,America,,,
12,8,350,160,4456,13.5,72,1,,,,,oldsmobile delta 88 royale,,America,,,
11,8,350,180,3664,11,73,1,,,,,oldsmobile omega,,America,,,
26.8,6,173,115,2700,12.9,79,1,190,105,11.6,18.7,oldsmobile omega brougham,,America,,3208,
23.8,4,151,85,2855,17.6,78,1,123,106,14.2,20,oldsmobile starfire sx,,America,,,
12,8,350,180,4499,12.5,73,1,,,,,oldsmobile vista cruiser,,America,,,
28,4,116,90,2123,14,71,2,111,96,13.6,19,opel 1900,,Europe,,,
25,4,116,81,2220,16.9,76,2,,,,,opel 1900,,Europe,,,
26,4,97,78,2300,14.5,74,2,92,101,13.3,19.3,opel manta,,Europe,75,,
24,4,116,75,2158,15.5,73,2,,,,,opel manta,,Europe,,,
30,4,79,70,2074,19.5,71,2,74,93,14.7,19.5,peugeot 304,,Europe,,,
23,4,120,88,2957,17,75,2,105,96,14.9,19.3,peugeot 504,,Europe,86,2557,
19,4,120,88,3270,21.9,76,2,,,,,peugeot 504,,Europe,,,
25,4,110,87,2672,17.5,70,2,,,,,peugeot 504,,Europe,,,
27.2,4,141,71,3190,24.8,79,2,,,,,peugeot 504,,Europe,,,
21,4,120,87,2979,19.5,72,2,,,,,peugeot 504 (sw),,Europe,,,
28.1,4,141,80,3230,20.4,81,2,,,,,peugeot 505s turbo diesel,,Europe,,,
16.2,6,163,133,3410,15.8,78,2,162.5,114,10.6,17.7,peugeot 604sl,,Europe,,,
25.5,4,122,96,2300,15.5,77,1,106,104,10.8,18,plymouth arrow gs,,America,,,
39,4,86,64,1875,16.4,81,1,78,93,13.7,19.3,plymouth champ,,America,,,
26,4,91,70,1955,20.5,71,1,83,86,15.6,20.2,plymouth cricket,,America,,,
14,8,340,160,3609,8,70,1,340,127,6.8,15.3,plymouth 'cuda 340,,America,275,,
13,8,360,170,4654,13,73,1,,,,,plymouth custom suburb,,America,,,
22,6,198,95,2833,15.5,70,1,180,103,11.7,18.7,plymouth duster,,America,125,2908,
23,6,198,95,2904,16,73,1,,,,,plymouth duster,,America,,,
20,6,198,95,3102,16.5,74,1,,,,,plymouth duster,,America,,,
18,6,225,95,3785,19,75,1,170,95,16.9,21.2,plymouth fury,,America,,,
14,8,318,150,4237,14.5,73,1,,,,,plymouth fury gran sedan,,America,,,
14,8,440,215,4312,8.5,70,1,,,,,plymouth fury iii,,America,,,
14,8,318,150,4096,13,71,1,,,,,plymouth fury iii,,America,,,
15,8,318,150,4135,13.5,72,1,,,,,plymouth fury iii,,America,,,
16,8,318,150,4498,14.5,75,1,260,108,14,19.9,plymouth grand fury,,America,,4376,
34.2,4,105,70,2200,13.2,79,1,85,96,15,20.1,plymouth horizon,,America,65,,
34.7,4,105,63,2215,14.9,81,1,,,,,plymouth horizon 4,,America,,,
38,4,105,63,2125,14.7,82,1,,,,,plymouth horizon miser,,America,,,
34.5,4,105,70,2150,14.9,79,1,,,,,plymouth horizon tc3,,America,,,
27.2,4,135,84,2490,15.7,81,1,111,99,12.3,19,plymouth reliant,,America,,2361,
30,4,135,84,2385,12.9,81,1,,,,,plymouth reliant,,America,,,
23.2,4,156,105,2745,16.7,78,1,139,112,10.9,18.2,plymouth sapporo,,America,,2689,
18,8,318,150,3436,11,70,1,215,99,12.2,19,plymouth satellite,,America,145,3318,
NA,8,383,175,4166,10.5,70,1,,,,,plymouth satellite (sw),,America,,,
16,6,225,105,3439,15.5,71,1,,,,,plymouth satellite custom,,America,,,
14,8,318,150,4077,14,72,1,,,,,plymouth satellite custom (sw),,America,,,
18,6,225,105,3613,16.5,74,1,,,,,plymouth satellite sebring,,America,,,
18,6,225,105,3121,16.5,73,1,185,101,12.2,18.7,plymouth valiant,,America,,2967,
22,6,225,100,3233,15.4,76,1,,,,,plymouth valiant,,America,,,
19,6,225,95,3264,16,75,1,,,,,plymouth valiant custom,,America,,,
20.5,6,225,100,3430,17.2,78,1,170,100,13.7,19.7,plymouth volare,,America,,3230,
19,6,225,100,3630,17.7,77,1,,,,,plymouth volare custom,,America,,,
13,8,318,150,3940,13.2,76,1,,,,,plymouth volare premier v8,,America,,,
23,4,140,78,2592,18.5,75,1,,,,,pontiac astro,,America,,,
14,8,455,225,4425,10,70,1,,,,,pontiac catalina,,America,,,
14,8,400,175,4385,12,72,1,,,,,pontiac catalina,,America,,,
16,8,400,170,4668,11.5,75,1,,,,,pontiac catalina,,America,,,
14,8,400,175,4464,11.5,71,1,,,,,pontiac catalina brougham,,America,,,
19,6,250,100,3282,15,71,1,,,,,pontiac firebird,,America,,,
16,8,400,230,4278,9.5,73,1,,,,,pontiac grand prix,,America,,,
16,8,400,180,4220,11.1,77,1,,,,,pontiac grand prix lj,,America,,,
31,4,112,85,2575,16.2,82,1,,,,,pontiac j2000 se hatchback,,America,,,
21.5,6,231,115,3245,15.4,79,1,,,,,pontiac lemans v6,,America,,,
33.5,4,151,90,2556,13.2,79,1,,,,,pontiac phoenix,,America,,,
27,4,151,90,2735,18,82,1,,,,,pontiac phoenix,,America,,,
19.2,6,231,105,3535,19.2,78,1,,,,,pontiac phoenix lj,,America,,,
13,8,400,175,5140,12,71,1,,,,,pontiac safari (sw),,America,,,
24.5,4,151,88,2740,16,77,1,,,,,pontiac sunbird coupe,,America,,,
18.5,6,250,110,3645,16.2,76,1,,,,,pontiac ventura sj,,America,,,
26,4,96,69,2189,18,72,2,,,,,renault 12 (sw),,Europe,,,
27,4,101,83,2202,15.3,76,2,,,,,renault 12tl,,Europe,,,
36,4,79,58,1825,18.6,77,2,,,,,renault 5 gtl,,Europe,,,
NA,4,121,110,2800,15.4,81,2,,,,,saab 900s,,Europe,,,
25,4,104,95,2375,17.5,70,2,,,,,saab 99e,,Europe,,,
21.6,4,121,115,2795,15.7,78,2,,,,,saab 99gle,,Europe,,,
25,4,121,115,2671,13.5,75,2,,,,,saab 99le,,Europe,,,
24,4,121,110,2660,14,73,2,,,,,saab 99le,,Europe,,,
26,4,108,93,2391,15.5,74,3,,,,,subaru,,Japan,,,
32.3,4,97,67,2065,17.8,81,3,,,,,subaru,,Japan,,,
30,4,97,67,1985,16.4,77,3,,,,,subaru dl,,Japan,,,
33.8,4,97,67,2145,18,80,3,,,,,subaru dl,,Japan,,,
20,4,97,88,2279,19,73,3,,,,,toyota carina,,Japan,,,
32,4,144,96,2665,13.9,82,3,116,112,10.9,,toyota celica gt,,Japan,103,2590,
21.1,4,134,95,2515,14.8,78,3,,,,,toyota celica gt liftback,,Japan,,,
29,4,97,75,2171,16,75,3,,,,,toyota corolla,,Japan,,,
28,4,97,75,2155,16.4,76,3,,,,,toyota corolla,,Japan,,,
32.2,4,108,75,2265,15.2,80,3,,,,,toyota corolla,,Japan,,,
32.4,4,108,75,2350,16.8,81,3,,,,,toyota corolla,,Japan,,,
34,4,108,70,2245,16.9,82,3,,,,,toyota corolla,,Japan,,,
31,4,71,65,1773,19,71,3,,,,,toyota corolla 1200,,Japan,,,
32,4,71,65,1836,21,74,3,,,,,toyota corolla 1200,,Japan,,,
27,4,97,88,2100,16.5,72,3,,,,,toyota corolla 1600 (sw),,Japan,,,
26,4,97,75,2265,18.2,77,3,,,,,toyota corolla liftback,,Japan,,,
38.1,4,89,60,1968,18.8,80,3,,,,,toyota corolla tercel,,Japan,,,
24,4,134,96,2702,13.5,75,3,,,,,toyota corona,,Japan,,,
25,4,113,95,2228,14,71,3,,,,,toyota corona,,Japan,,,
27.5,4,134,95,2560,14.2,78,3,,,,,toyota corona,,Japan,,,
31,4,76,52,1649,16.5,74,3,,,,,toyota corona,,Japan,,,
24,4,113,95,2278,15.5,72,3,,,,,toyota corona hardtop,,Japan,,,
29.8,4,134,90,2711,15.5,80,3,,,,,toyota corona liftback,,Japan,,,
24,4,113,95,2372,15,70,3,,,,,toyota corona mark ii,,Japan,,,
25.4,6,168,116,2900,12.6,81,3,,,,,toyota cressida,,Japan,,,
20,6,156,122,2807,13.5,73,3,,,,,toyota mark ii,,Japan,,,
19,6,156,108,2930,15.5,76,3,,,,,toyota mark ii,,Japan,,,
39.1,4,79,58,1755,16.9,81,3,,,,,toyota starlet,,Japan,,,
37.7,4,89,62,2050,17.3,81,3,,,,,toyota tercel,,Japan,,,
23,4,120,97,2506,14.5,72,3,,,,,toyouta corona mark ii (sw),,Japan,,,
35,4,122,88,2500,15.1,80,2,,,,,triumph tr7 coupe,,Europe,,,
29.8,4,89,62,1845,15.3,80,2,,,,,vokswagen rabbit,,Europe,,,
26,4,97,46,1835,20.5,70,2,,,,,volkswagen 1131 deluxe sedan,,Europe,,,
22,4,121,76,2511,18,72,2,,,,,volkswagen 411 (sw),,Europe,,,
30.5,4,97,78,2190,14.1,77,2,,,,,volkswagen dasher,,Europe,,,
25,4,90,71,2223,16.5,75,2,,,,,volkswagen dasher,,Europe,,,
26,4,79,67,1963,15.5,74,2,,,,,volkswagen dasher,,Europe,,,
43.4,4,90,48,2335,23.7,80,2,,,,,volkswagen dasher (diesel),,Europe,,,
33,4,105,74,2190,14.2,81,2,,,,,volkswagen jetta,,Europe,,,
27,4,97,60,1834,19,71,2,,,,,volkswagen model 111,,Europe,,,
44,4,97,52,2130,24.6,82,2,,,,,volkswagen pickup,,Europe,,,
41.5,4,98,76,2144,14.7,80,2,,,,,volkswagen rabbit,,Europe,,,
29.5,4,97,71,1825,12.2,76,2,,,,,volkswagen rabbit,,Europe,,,
29,4,90,70,1937,14,75,2,,,,,volkswagen rabbit,,Europe,,,
29,4,90,70,1937,14.2,76,2,81,94,13.4,,volkswagen rabbit,,Europe,,1753,
44.3,4,90,48,2085,21.7,80,2,,,,,volkswagen rabbit c (diesel),,Europe,,,
29,4,97,78,1940,14.5,77,2,,,,,volkswagen rabbit custom,,Europe,,,
31.9,4,89,71,1925,14,79,2,,,,,volkswagen rabbit custom,,Europe,,,
43.1,4,90,48,1985,21.5,78,2,,,,,volkswagen rabbit custom diesel,,Europe,,,
36,4,105,74,1980,15.3,82,2,,,,,volkswagen rabbit l,,Europe,,,
31.5,4,89,71,1990,14.9,78,2,,,,,volkswagen scirocco,,Europe,,,
26,4,97,46,1950,21,73,2,,,,,volkswagen super beetle,,Europe,,,
NA,4,97,48,1978,20,71,2,,,,,volkswagen super beetle 117,,Europe,,,
23,4,97,54,2254,23.5,72,2,,,,,volkswagen type 3,,Europe,,,
19,4,121,112,2868,15.5,73,2,,,,,volvo 144ea,,Europe,,,
18,4,121,112,2933,14.5,72,2,,,,,volvo 145e (sw),,Europe,,,
22,4,121,98,2945,14.5,75,2,,,,,volvo 244dl,,Europe,,,
20,4,130,102,3150,15.7,76,2,,,,,volvo 245,,Europe,,,
17,6,163,125,3140,13.6,78,2,,,,,volvo 264gl,,Europe,,,
30.7,6,145,76,3160,19.6,81,2,,,,,volvo diesel,,Europe,,,
